id,title,genre,ott_platform,year_of_release,description,genre_source_raw,year_source
904,oni,"Anime, Fantasy",,2022,A mystical story of demons and spirits from Japanese folklore.,"Anime, Fantasy",imdb_loose
903,thefamily man,"Action, Thriller, Drama",,2019,"A middle-class man and world-class spy, struggles to balance family life with his role in the National Intelligence Agency.","Action, Thriller, Drama",imdb_exact
902,oppenheimer,Historical Drama,,2023,The story of J. Robert Oppenheimer and the creation of the atomic bomb.,Historical Drama,imdb_exact
901,metro in dino,"Drama, Comedy",,2025,Everyday lives and relationships intersect in a bustling Indian metro.,"Drama, Comedy",imdb_exact
900,wolf king,"Crime, Thriller",,2025,"A gritty underworld tale of loyalty, betrayal, and survival.","Crime, Thriller",imdb_exact
899,queen gambit,"Drama, Miniseries",,,A young chess prodigy battles addiction while rising to world fame.,"Drama, Miniseries",unmatched
898,narcos,"Crime, Drama",,2015,The rise and fall of drug cartels in Colombia and their global impact.,"Crime, Drama",imdb_exact
897,designated survivor,Political Thriller,,2016,"After an attack, a low-level official becomes U.S. President overnight.",Political Thriller,imdb_exact
896,blacklist,"Crime, Thriller",,2019,"A master criminal known as Raymond ""Red"" Reddington teams up with the FBI to catch elusive criminals.","Crime, Thriller",imdb_exact
895,next gen chef,"Reality TV, Cooking",,2025,Aspiring chefs compete in intense challenges to prove their culinary skills and creativity.,"Reality-TV, Cooking",imdb_exact
894,saiyaara,Romantic Drama,,2025,A soulful love story that explores deep emotions and unforgettable connections.,Romantic Drama,imdb_exact
830,app jaisa koi,Romantic Drama,,,"Shrirenu lives by tradition. Madhu lives unapologetically. When their paths cross, a tender romance unfolds - awkward, sweet but shadowed by patriarchy.",Romantic Drama,unmatched
908,homebound,Unknown,,2025,No description available.,Unknown,imdb_exact
925,kurukshetra,Mythological War/Historical Epic,,2025,"A large-scale India mythological war film based on Mahabharata, with grand battle sequences, divine interventions and epic spectacle.",Mythological War / Historical Epic,imdb_exact
926,annie,Musical/Family,,2014,A heartwarming musical about a spirited young orphan whose life changes when she is welcomed into the home of a wealthy businessman.,Musical / Family,imdb_exact
907,avatar,Science Fiction/Adventure/Fantasy,,2009,"In the year 2154 a paraplegic former Marine is given the opportunity to inhabit an alien body on the lush moon Pandora, where he becomes torn between following orders and protecting the world he feels is his home.",Science Fiction / Adventure / Fantasy,imdb_exact
909,senna,Documentary/Sport,,2010,"A moving and immersive documentary that chronicles the rise and tragic death of Brazilian Formula One racing champion Ayrton Senna, told almost entirely through archival footage and his own voice.",Documentary / Sport,imdb_exact
911,the final table,Reality/Competition/Food & Travel,,2018,A global culinary competition show in which elite chefs from around the world go head-to-head creating national dishes from nine countries for a coveted seat at the Final Table.,Reality / Competition / Food & Travel,imdb_exact
910,sunnysanskarikitulsikumari,Romantic Comedy,,2025,"Sunny Sanskari teams up with Tulsi Kumari to crash his ex wedding, but their plan for revenge leads to unexpected romance and self-discovery.",Romantic Comedy,imdb_exact
927,Thamma,Horror,,2025,"A chilling horror film that follows eerie supernatural events surrounding a mysterious figure known as Thamma. The story blends atmospheric tension, psychological fear, and unsettling twists that keep viewers on edge.",Horror,imdb_exact
1059,war machine 2026,Sci Fi/Action,,2026,"A futuristic war epic exploring advanced military tech, power struggles, and global conflict.",Sci-Fi/Action,imdb_loose
1058,something bad is going to happen,Horror/Thriller,,,A tense psychological thriller where a looming sense of dread builds into a chilling reality.,Horror/Thriller,unmatched
931,harry potter,Fantasy/Adventure,,2026,A young wizard discovers his magical heritage and faces dark forces while attending Hogwarts School of Witchcraft and Wizardry.,Fantasy / Adventure,imdb_exact
1062,thrash,Action/Thriller,,2026,"Raw, high-energy action drama centered on chaos, survival, and intense confrontations.",Action/Thriller,imdb_exact
1060,extraction2,Action/Thriller,,2020,"A black-ops mercenary returns for a deadly mission, facing impossible odds and relentless enemies.",Action/Thriller,imdb_loose
932,halloween,Horror/Slasher,,1978,"A masked killer, Michael Myers, returns to terrorize a quiet town on Halloween night in this iconic slasher classic.",Horror / Slasher,imdb_exact
929,frankenstein,Horror/Gothic,,2025,"A scientist creates a living creature from dead body parts, leading to tragic consequences as the monster seeks acceptance and identity.",Horror / Gothic,imdb_exact
930,de de pyaar de 2,Romantic Comedy/Family Drama,,2025,"A light-hearted romantic comedy that explores modern relationships, family dynamics, and second chances in love.",Romantic Comedy / Family Drama,imdb_exact
928,zakir mannpasand,Comedy/Family Drama,,2023,"A light, feel-good comedy centered on relationships, family bonds, and a man whose likable nature brings joy and chaos in equal measure.",Comedy / Family Drama,imdb_loose
934,idly kadai,"Drama, Slice of Life",,2025,"A heartfelt story rooted in everyday life, food, and human connections.","Drama, Slice of Life",imdb_exact
935,mrs deshpande,Drama,,2025,"A quiet, emotional journey of identity, resilience, and family bonds.",Drama,imdb_exact
960,ron’s gone wrong,"Animation, Comedy, Family",,2021,A boy and his malfunctioning robot discover friendship beyond technology.,"Animation, Comedy, Family",imdb_exact
959,sam bahadur,"Biography, War, Drama",Amazon Prime,2023,The inspiring life of Field Marshal Sam Manekshaw and India military legacy.,"Biography, War, Drama",imdb_exact
933,stranger things 5,"Sci Fi, Horror, Drama",,2026,The final battle as Hawkins faces its darkest threat from the Upside Down.,"Sci-Fi, Horror, Drama",imdb_loose
958,avatater: the way if water,"Sci Fi, Adventure",,,Jake Sully explores Pandora oceans while protecting his family from new dangers.,"Sci-Fi, Adventure",unmatched
961,Haq,"Courtroom Drama, Thriller",,2025,A gripping courtroom thriller that explores justice.,"Courtroom Drama, Thriller",imdb_exact
962,Single Papa,"Comedy, Family, Drama",,2025,"A warm, light-hearted story about single parenthood filled with humor, family moments, and relatable everyday challenges.","Comedy, Family, Drama",imdb_exact
991,f1 the movie,Sports Drama,,2025,Speed. Rivalry. Redemption. Glory.,Sports Drama,imdb_exact
992,tehran on apple tv,Spy Thriller,,,Undercover. Betrayal. Intelligence. Survival.,Spy Thriller,unmatched
993,taskaree,Crime Drama,,2026,Smuggling. Power. Loyalty. Consequences.,Crime Drama,imdb_loose
994,skyscraper live,Action Thriller,,2026,Trapped. Heights. Explosions. Rescue.,Action Thriller,imdb_exact
995,free solo,Documentary/Adventure,,2018,Climb. Fearless. Silence. Survival.,Documentary / Adventure,imdb_exact
996,single salma,Romantic Comedy,,2025,Single. Chaos. Love. Laughter.,Romantic Comedy,imdb_exact
997,Durandhar,Action Drama,,,Power. Politics. Revenge. Destiny.,Action Drama,unmatched
1024,kohhra 2,Unknown,,,No description available.,Unknown,unmatched
1061,durandhar 1,Action/Drama,,,"A powerful Indian action drama about courage, justice, and a man rising against all odds.",Action/Drama,unmatched
1025,kohra 2,Crime/Drama/Thriller,,2022,"A gripping crime drama exploring dark secrets, complex relationships, and a murder investigation in rural India.",Crime/Drama/Thriller,imdb_loose
1026,the hate u give,Drama,,2018,A powerful story of a young girl navigating identity and injustice after witnessing a police shooting.,Drama,imdb_exact
